id,name,scientific_name,classification,habitat,diet,conservation_status,region
620,Curtis Eagle,Smith Kelly,Bird,Caves,Omnivore,Critically Endangered,South America
621,Teresa Lizard,Bridges Morgan,Mammal,Caves,Herbivore,Vulnerable,Australia
622,Cristina Falcon,Sullivan Smith,Reptile,Forest,Carnivore,Endangered,Asia
623,Aaron Puma,Goodman Callahan,Bird,Desert,Carnivore,Vulnerable,South America
624,Joseph Wolf,Russell Harrison,Fish,Mountains,Carnivore,Endangered,Australia
625,Lisa Python,Malone Gomez,Amphibian,Grasslands,Carnivore,Least Concern,Antarctica
626,Joseph Tiger,Smith Patterson,Reptile,Desert,Omnivore,Critically Endangered,Australia
627,Angel Puma,Quinn Lopez,Amphibian,Rivers,Herbivore,Least Concern,North America
628,Billy Lizard,Santiago Gilmore,Mammal,Savannah,Carnivore,Vulnerable,Asia
629,Jessica Python,Roy Burke,Fish,Caves,Omnivore,Endangered,Worldwide
630,Melissa Lizard,Perez Suarez,Bird,Caves,Carnivore,Critically Endangered,Antarctica
631,Eric Python,Morgan Ross,Amphibian,Rivers,Herbivore,Least Concern,Europe
632,Angela Puma,Patel Johnson,Mammal,Grasslands,Herbivore,Endangered,Worldwide
633,Michael Puma,Ryan Cooke,Amphibian,Mountains,Omnivore,Least Concern,Asia
634,Troy Owl,Norris Williams,Mammal,Tundra,Omnivore,Near Threatened,Asia
635,Richard Puma,Welch Goodwin,Fish,Wetlands,Carnivore,Vulnerable,Antarctica
636,Kenneth Bear,Shaw Peterson,Fish,Desert,Omnivore,Endangered,Europe
637,Jessica Shark,Davis Smith,Amphibian,Tundra,Omnivore,Vulnerable,Africa
638,Tanya Python,Kennedy Smith,Reptile,Mountains,Omnivore,Near Threatened,North America
639,Michelle Eagle,Hess Walker,Bird,Rivers,Herbivore,Least Concern,Europe
640,Richard Puma,Berg Banks,Reptile,Desert,Herbivore,Endangered,Antarctica
641,Anthony Wolf,Smith Johns,Bird,Caves,Carnivore,Vulnerable,Antarctica
642,John Bear,Potts Marks,Mammal,Rivers,Carnivore,Critically Endangered,North America
643,Kathy Lizard,Adams Collins,Bird,Wetlands,Herbivore,Least Concern,Africa
644,Emily Owl,Cantrell Avila,Mammal,Ocean,Omnivore,Critically Endangered,Europe
645,Emily Crocodile,Cervantes Richardson,Amphibian,Caves,Carnivore,Near Threatened,Antarctica
646,Charles Bear,Leonard Moore,Bird,Wetlands,Carnivore,Least Concern,Europe
647,Jason Puma,Howard Patton,Fish,Desert,Carnivore,Near Threatened,Worldwide
648,Thomas Eagle,Lee Johnson,Bird,Rivers,Carnivore,Least Concern,South America
649,Alexander Bear,Crawford Kennedy,Fish,Rivers,Carnivore,Near Threatened,South America
650,Bryce Shark,Colon Keller,Fish,Tundra,Herbivore,Critically Endangered,Antarctica
651,Justin Eagle,Koch Brooks,Mammal,Ocean,Carnivore,Least Concern,North America
652,Elizabeth Tiger,Smith Gibbs,Mammal,Savannah,Herbivore,Least Concern,Europe
653,Erin Falcon,Webb Bryant,Reptile,Tundra,Carnivore,Near Threatened,Antarctica
654,Andrew Falcon,Rodgers Ward,Reptile,Desert,Herbivore,Endangered,North America
655,Christine Lizard,Evans Reynolds,Amphibian,Tundra,Herbivore,Near Threatened,North America
656,Clayton Lizard,Graham Reyes,Mammal,Grasslands,Herbivore,Vulnerable,Worldwide
657,Jeffrey Wolf,Nelson Lewis,Bird,Grasslands,Herbivore,Least Concern,Worldwide
658,Michelle Falcon,Lowe Sandoval,Amphibian,Mountains,Carnivore,Least Concern,Australia
659,Amanda Tiger,Terry Johnson,Fish,Caves,Herbivore,Vulnerable,Europe
660,Pamela Bear,Edwards Campbell,Fish,Savannah,Herbivore,Vulnerable,Asia
661,Tyler Shark,Griffin Silva,Bird,Savannah,Carnivore,Critically Endangered,South America
662,Diane Falcon,Foster Bryant,Fish,Tundra,Carnivore,Critically Endangered,Asia
663,Kayla Shark,Pace Lee,Reptile,Wetlands,Carnivore,Least Concern,Antarctica
664,Noah Falcon,Gomez Shepard,Amphibian,Desert,Omnivore,Critically Endangered,South America
665,Daniel Wolf,Finley Woods,Mammal,Ocean,Omnivore,Endangered,Europe
666,Alexandria Eagle,Carter Scott,Fish,Desert,Omnivore,Endangered,North America
667,Tiffany Owl,Mann Rodriguez,Bird,Ocean,Herbivore,Endangered,Africa
668,Guy Wolf,Ferguson Padilla,Reptile,Caves,Herbivore,Near Threatened,Australia
669,Jessica Eagle,Jacobs Mcmillan,Fish,Desert,Carnivore,Vulnerable,Africa
670,Daniel Owl,Jordan Griffin,Amphibian,Wetlands,Omnivore,Endangered,South America
671,Heather Tiger,Cruz Williams,Fish,Ocean,Herbivore,Near Threatened,Australia
672,Courtney Crocodile,Maddox Miller,Reptile,Ocean,Omnivore,Least Concern,Antarctica
673,Amanda Eagle,Wiggins Martinez,Reptile,Desert,Carnivore,Least Concern,North America
674,Gabrielle Eagle,Martinez Adams,Fish,Mountains,Carnivore,Endangered,South America
675,Zachary Lizard,Turner Hall,Mammal,Grasslands,Carnivore,Near Threatened,Europe
676,Lindsay Eagle,Perkins Morris,Mammal,Caves,Omnivore,Least Concern,Africa
677,Katherine Wolf,Taylor Griffin,Mammal,Desert,Herbivore,Least Concern,Europe
678,Joshua Lizard,Rose Prince,Mammal,Forest,Herbivore,Near Threatened,Africa
679,John Python,Myers Sanders,Fish,Rivers,Omnivore,Least Concern,Australia
680,Amanda Puma,Carr Young,Amphibian,Rivers,Omnivore,Endangered,Europe
681,Donna Bear,Manning Thompson,Bird,Mountains,Omnivore,Near Threatened,Antarctica
682,Walter Shark,Rodgers Rogers,Bird,Savannah,Herbivore,Least Concern,North America
683,John Shark,Vasquez Jacobson,Mammal,Grasslands,Omnivore,Vulnerable,South America
684,Krystal Falcon,Garner Sims,Bird,Mountains,Herbivore,Near Threatened,Australia
685,Jorge Crocodile,Davis Cox,Amphibian,Caves,Herbivore,Critically Endangered,Australia
686,Jonathan Wolf,Fleming Smith,Mammal,Grasslands,Carnivore,Critically Endangered,South America
687,Nicholas Puma,Gould Wade,Amphibian,Desert,Omnivore,Near Threatened,Worldwide
688,Jason Puma,Carlson Beck,Amphibian,Grasslands,Omnivore,Near Threatened,Africa
689,Robert Bear,Anderson Molina,Amphibian,Desert,Omnivore,Near Threatened,Antarctica
690,Austin Bear,Thomas Rose,Reptile,Forest,Herbivore,Critically Endangered,Australia
691,Douglas Python,Pineda Dougherty,Bird,Rivers,Carnivore,Endangered,Europe
692,Suzanne Bear,Becker Kim,Bird,Tundra,Omnivore,Critically Endangered,Europe
693,Carlos Bear,Hoffman Reynolds,Mammal,Ocean,Carnivore,Near Threatened,South America
694,William Tiger,Gonzalez Clark,Fish,Caves,Omnivore,Least Concern,Antarctica
695,Pamela Wolf,Olson Jennings,Bird,Rivers,Omnivore,Critically Endangered,Asia
696,Melanie Lizard,Quinn Lee,Fish,Ocean,Carnivore,Near Threatened,South America
697,David Shark,Conway Jones,Bird,Caves,Omnivore,Least Concern,South America
698,Joanne Eagle,Patterson Chandler,Mammal,Mountains,Herbivore,Critically Endangered,Antarctica
699,Matthew Puma,Jordan Boyd,Reptile,Forest,Carnivore,Least Concern,Australia
700,Travis Owl,Jones Williamson,Bird,Ocean,Herbivore,Vulnerable,Europe
701,Sean Eagle,Fernandez Martinez,Bird,Tundra,Herbivore,Critically Endangered,Asia
702,Edward Bear,Smith Martinez,Amphibian,Rivers,Carnivore,Vulnerable,Africa
703,Dennis Falcon,Murphy Young,Bird,Savannah,Carnivore,Endangered,Asia
704,Nathan Shark,Larson Montes,Fish,Mountains,Carnivore,Least Concern,Antarctica
705,Kimberly Bear,Wright Black,Bird,Tundra,Carnivore,Vulnerable,Africa
706,Alice Shark,Jenkins Harris,Amphibian,Forest,Herbivore,Near Threatened,North America
707,Kathy Lizard,Crawford Rivera,Reptile,Caves,Omnivore,Near Threatened,South America
708,Amy Owl,Smith Johnson,Bird,Mountains,Herbivore,Endangered,Africa
709,Michael Tiger,King Howell,Reptile,Caves,Omnivore,Near Threatened,Africa
710,Michael Eagle,Church Braun,Mammal,Caves,Herbivore,Critically Endangered,Africa
711,Brian Eagle,Lee Young,Fish,Forest,Carnivore,Least Concern,Australia
712,Terri Python,Clarke Mcdaniel,Mammal,Savannah,Omnivore,Endangered,Antarctica
713,Ryan Lizard,James Roberts,Bird,Rivers,Carnivore,Least Concern,Asia
714,Danny Owl,Williams Gibson,Reptile,Wetlands,Carnivore,Near Threatened,Antarctica
715,Arthur Tiger,Garcia Brown,Bird,Caves,Herbivore,Critically Endangered,Asia
716,Jessica Python,Valencia Valencia,Reptile,Tundra,Herbivore,Critically Endangered,Australia
717,Michael Crocodile,Steele Vasquez,Reptile,Caves,Omnivore,Near Threatened,North America
718,Elaine Wolf,Underwood Ramirez,Mammal,Forest,Omnivore,Endangered,South America
719,Dustin Python,Perez Tucker,Reptile,Tundra,Omnivore,Vulnerable,Asia
720,Paul Falcon,Henry Goodwin,Fish,Grasslands,Omnivore,Least Concern,North America
721,James Python,Lewis Howard,Mammal,Mountains,Herbivore,Near Threatened,Australia
722,Brian Shark,Mejia White,Bird,Grasslands,Herbivore,Endangered,Antarctica
723,Francisco Tiger,Mcdowell Harvey,Reptile,Grasslands,Omnivore,Least Concern,South America
724,Jay Tiger,Keith Williams,Bird,Ocean,Herbivore,Critically Endangered,Asia
725,Carla Puma,Cobb Gonzalez,Fish,Grasslands,Omnivore,Vulnerable,Europe
726,Gail Puma,Rodriguez Lamb,Fish,Savannah,Herbivore,Vulnerable,North America
727,John Bear,Rojas Cook,Reptile,Wetlands,Carnivore,Least Concern,Asia
728,Melanie Owl,Stanley Jenkins,Bird,Desert,Omnivore,Near Threatened,Australia
729,Justin Puma,Hernandez Dalton,Fish,Forest,Herbivore,Near Threatened,Asia
730,Margaret Python,Moore Morris,Amphibian,Rivers,Carnivore,Near Threatened,Europe
731,Donna Tiger,Henry Watson,Amphibian,Grasslands,Herbivore,Endangered,Europe
732,Sarah Wolf,Johnson Park,Reptile,Rivers,Carnivore,Least Concern,Europe
733,Jeremy Lizard,Lindsey Stevens,Fish,Desert,Herbivore,Least Concern,Worldwide
734,Walter Shark,Holmes Ortega,Reptile,Rivers,Herbivore,Critically Endangered,North America
735,Emily Bear,Coleman Fisher,Bird,Tundra,Herbivore,Least Concern,Worldwide
736,Emily Python,Franklin Choi,Reptile,Wetlands,Herbivore,Least Concern,South America
737,Amy Puma,Morrison Perry,Mammal,Savannah,Carnivore,Vulnerable,Africa
738,Lauren Eagle,Hunt Campbell,Amphibian,Tundra,Omnivore,Critically Endangered,Asia
739,Kimberly Shark,Webb Henry,Amphibian,Tundra,Omnivore,Near Threatened,South America
740,Kevin Tiger,Miles Hoover,Fish,Grasslands,Carnivore,Least Concern,South America
741,Brianna Falcon,Mclean Taylor,Mammal,Forest,Carnivore,Least Concern,Antarctica
742,Frances Shark,Murphy Bishop,Amphibian,Rivers,Carnivore,Vulnerable,Antarctica
743,Shannon Crocodile,Martinez Wood,Fish,Desert,Omnivore,Endangered,Africa
744,Gina Eagle,Lopez Mckinney,Amphibian,Desert,Herbivore,Vulnerable,Africa
745,Zachary Eagle,Green Mora,Fish,Savannah,Carnivore,Vulnerable,Asia
746,Joseph Tiger,Johnson Malone,Fish,Savannah,Omnivore,Vulnerable,Worldwide
747,James Bear,Woods Fry,Fish,Tundra,Omnivore,Near Threatened,Australia
748,Joseph Tiger,Marshall Russell,Bird,Grasslands,Herbivore,Vulnerable,South America
749,Tracy Falcon,Williams Potter,Amphibian,Desert,Omnivore,Critically Endangered,Antarctica
750,Patrick Shark,Brown Glenn,Bird,Rivers,Herbivore,Endangered,Asia
751,Jennifer Bear,Reid Sullivan,Bird,Forest,Omnivore,Endangered,North America
752,David Crocodile,Paul Allen,Bird,Caves,Carnivore,Endangered,Worldwide
753,Ernest Owl,Moore Bowen,Amphibian,Rivers,Carnivore,Critically Endangered,Worldwide
754,Sophia Lizard,Holloway Valenzuela,Bird,Wetlands,Carnivore,Least Concern,Australia
755,Cynthia Owl,Gonzalez Trujillo,Mammal,Mountains,Omnivore,Critically Endangered,Australia
756,Kimberly Python,Sandoval Herrera,Reptile,Mountains,Omnivore,Vulnerable,Antarctica
757,David Lizard,Lewis Bean,Bird,Wetlands,Carnivore,Vulnerable,South America
758,John Crocodile,Taylor Brown,Reptile,Tundra,Carnivore,Least Concern,Australia
759,Rachel Wolf,Ryan Mata,Reptile,Desert,Herbivore,Vulnerable,South America
760,Stephen Tiger,Mccormick Richardson,Fish,Rivers,Omnivore,Vulnerable,North America
761,Rebecca Lizard,Mcgee York,Reptile,Grasslands,Carnivore,Endangered,Asia
762,Dennis Eagle,Williams Macdonald,Bird,Savannah,Herbivore,Endangered,Europe
763,Nicholas Owl,Knapp Crawford,Amphibian,Forest,Carnivore,Endangered,Africa
764,Teresa Crocodile,Villarreal King,Bird,Caves,Omnivore,Near Threatened,South America
765,Brenda Owl,Stein Smith,Fish,Wetlands,Herbivore,Vulnerable,Africa
766,Eric Crocodile,Porter Frederick,Fish,Mountains,Carnivore,Least Concern,North America
767,Jamie Owl,Stewart Craig,Reptile,Grasslands,Carnivore,Near Threatened,Antarctica
768,Courtney Eagle,Robertson Greene,Bird,Forest,Carnivore,Least Concern,Australia
769,Paula Owl,Barnett Yang,Bird,Grasslands,Omnivore,Endangered,Europe
770,Michael Tiger,Herrera Castaneda,Reptile,Wetlands,Herbivore,Endangered,Antarctica
771,Brandon Falcon,Horn Wright,Reptile,Mountains,Carnivore,Near Threatened,North America
772,John Tiger,Molina Cummings,Fish,Rivers,Carnivore,Vulnerable,South America
773,Elizabeth Puma,Byrd Little,Reptile,Rivers,Omnivore,Critically Endangered,Asia
774,Aaron Lizard,Lee Carpenter,Amphibian,Wetlands,Omnivore,Near Threatened,North America
775,Kathryn Owl,Gomez Martinez,Mammal,Grasslands,Omnivore,Endangered,Europe
776,Thomas Shark,Russell Newton,Amphibian,Grasslands,Omnivore,Vulnerable,Africa
777,Daniel Wolf,Andrews Ramirez,Reptile,Caves,Omnivore,Near Threatened,South America
778,Ashlee Python,Lee Bowers,Reptile,Ocean,Herbivore,Endangered,Antarctica
779,Olivia Wolf,Hernandez Nicholson,Fish,Grasslands,Omnivore,Vulnerable,Antarctica
780,Cameron Lizard,Kirk Ryan,Amphibian,Mountains,Omnivore,Endangered,Antarctica
781,Sheena Falcon,Underwood Galloway,Reptile,Caves,Omnivore,Least Concern,Worldwide
782,Joseph Shark,Lawson Reynolds,Amphibian,Tundra,Omnivore,Vulnerable,Australia
783,Angela Crocodile,Mahoney Avery,Fish,Tundra,Herbivore,Least Concern,Australia
784,Christine Wolf,Morgan Kaufman,Reptile,Caves,Herbivore,Critically Endangered,Australia
785,Joseph Eagle,Parks Williams,Reptile,Savannah,Herbivore,Near Threatened,North America
786,Daniel Bear,Baker Mcbride,Reptile,Ocean,Omnivore,Endangered,South America
787,Joseph Bear,Banks Vazquez,Fish,Forest,Carnivore,Vulnerable,South America
788,Samantha Shark,Cervantes English,Reptile,Wetlands,Omnivore,Near Threatened,Europe
789,Michelle Tiger,Garrison Gonzalez,Amphibian,Ocean,Omnivore,Least Concern,Asia
790,Melissa Tiger,Hunt Smith,Reptile,Wetlands,Carnivore,Endangered,Europe
791,Angela Eagle,Shaw Diaz,Reptile,Tundra,Omnivore,Vulnerable,Africa
792,Lauren Shark,Contreras Velez,Mammal,Savannah,Omnivore,Endangered,Worldwide
793,Kathryn Eagle,Johnson Nielsen,Mammal,Wetlands,Carnivore,Least Concern,Antarctica
794,Brittany Lizard,Hickman Mcmillan,Reptile,Savannah,Omnivore,Near Threatened,Worldwide
795,Cassidy Wolf,Wolf Jones,Fish,Savannah,Omnivore,Endangered,North America
796,Amy Eagle,Stevenson Castro,Mammal,Mountains,Omnivore,Critically Endangered,Asia
797,Arthur Crocodile,Hall Bailey,Fish,Forest,Carnivore,Least Concern,Africa
798,Kevin Shark,Wilson Hughes,Bird,Wetlands,Herbivore,Least Concern,Africa
799,Ashley Python,Davidson Mann,Fish,Savannah,Carnivore,Least Concern,Africa
800,Steven Wolf,Chang Marshall,Amphibian,Grasslands,Carnivore,Vulnerable,Antarctica
801,Trevor Falcon,Rosario Grant,Reptile,Rivers,Carnivore,Near Threatened,North America
802,Joseph Puma,Diaz Myers,Mammal,Desert,Carnivore,Least Concern,North America
803,Shannon Python,Cruz Washington,Reptile,Tundra,Carnivore,Vulnerable,South America
804,Catherine Lizard,Figueroa Bush,Fish,Tundra,Omnivore,Vulnerable,Africa
805,Jeffrey Owl,Edwards Shelton,Amphibian,Mountains,Omnivore,Vulnerable,Africa
806,Kimberly Python,Cooper Swanson,Fish,Ocean,Omnivore,Least Concern,Europe
807,Thomas Shark,Sanders Clements,Reptile,Ocean,Omnivore,Least Concern,Worldwide
808,Scott Puma,Craig French,Reptile,Ocean,Omnivore,Critically Endangered,South America
809,John Bear,Gross Bell,Bird,Wetlands,Herbivore,Endangered,Europe
810,Victoria Tiger,Nichols Olson,Mammal,Desert,Carnivore,Critically Endangered,Africa
811,Christine Falcon,Schultz Wagner,Mammal,Ocean,Omnivore,Endangered,Worldwide
812,Kristin Bear,Cortez Lloyd,Fish,Ocean,Carnivore,Vulnerable,Europe
813,Michelle Wolf,Jennings Roberts,Bird,Forest,Carnivore,Least Concern,North America
814,Danielle Owl,Evans Lee,Fish,Desert,Omnivore,Least Concern,Africa
815,Jennifer Shark,Herrera Bauer,Fish,Tundra,Herbivore,Vulnerable,Worldwide
816,Kathleen Crocodile,Goodwin Reid,Mammal,Savannah,Herbivore,Vulnerable,Europe
817,Martha Owl,Hill Barnes,Fish,Rivers,Herbivore,Least Concern,Europe
818,Megan Wolf,Fox Dorsey,Bird,Ocean,Omnivore,Near Threatened,Australia
819,Jeffrey Puma,Miller Graham,Fish,Savannah,Carnivore,Near Threatened,Australia
820,Madison Owl,Villanueva Fernandez,Bird,Ocean,Omnivore,Endangered,Worldwide
821,Mark Bear,Lewis Frye,Mammal,Forest,Omnivore,Vulnerable,Asia
822,Kristen Eagle,Decker Wilson,Mammal,Mountains,Carnivore,Near Threatened,Australia
823,Dean Falcon,Cruz Butler,Bird,Caves,Carnivore,Endangered,Africa
824,Kimberly Puma,Mooney Donovan,Fish,Savannah,Herbivore,Least Concern,Antarctica
825,David Owl,Carrillo Vaughn,Bird,Desert,Omnivore,Vulnerable,Antarctica
826,Jenny Puma,Freeman Knight,Fish,Tundra,Carnivore,Near Threatened,Worldwide
827,John Owl,Anderson Cummings,Mammal,Forest,Herbivore,Vulnerable,Africa
828,Kimberly Wolf,Smith Christensen,Bird,Wetlands,Omnivore,Near Threatened,Asia
829,Linda Python,Garcia Rios,Fish,Savannah,Carnivore,Near Threatened,Africa
830,Susan Crocodile,Robertson White,Fish,Mountains,Herbivore,Vulnerable,Africa
831,Jeffrey Falcon,Cole Powell,Amphibian,Caves,Carnivore,Endangered,Africa
832,Rick Owl,Crosby Tucker,Mammal,Wetlands,Carnivore,Near Threatened,Worldwide
833,Karen Lizard,Zamora Hale,Reptile,Forest,Omnivore,Near Threatened,Worldwide
834,Thomas Bear,Garcia Griffin,Amphibian,Wetlands,Carnivore,Least Concern,Africa
835,Patricia Tiger,Rangel Knapp,Amphibian,Mountains,Carnivore,Near Threatened,Australia
836,David Owl,Obrien Johnson,Mammal,Tundra,Carnivore,Vulnerable,Europe
837,Charles Wolf,Alexander Rocha,Fish,Grasslands,Omnivore,Endangered,Antarctica
838,Jonathan Bear,Sharp Martin,Reptile,Ocean,Omnivore,Near Threatened,Worldwide
839,John Tiger,Matthews Kim,Mammal,Ocean,Herbivore,Least Concern,Antarctica
840,Justin Puma,Olson Wilson,Reptile,Ocean,Carnivore,Near Threatened,Antarctica
841,Gregory Python,Chase Clements,Reptile,Desert,Omnivore,Critically Endangered,Australia
842,Becky Bear,Best Clark,Bird,Grasslands,Herbivore,Least Concern,Australia
843,Anthony Shark,Anderson Rogers,Amphibian,Mountains,Carnivore,Vulnerable,Asia
844,Lee Python,Hayes Wong,Amphibian,Forest,Carnivore,Least Concern,Africa
845,Faith Shark,Collins Schneider,Bird,Wetlands,Omnivore,Least Concern,Worldwide
846,Sharon Lizard,Nguyen Conner,Bird,Caves,Herbivore,Critically Endangered,Worldwide
847,Jessica Bear,Campbell Henderson,Mammal,Wetlands,Omnivore,Vulnerable,Australia
848,Amanda Owl,Roberts Hall,Amphibian,Forest,Omnivore,Near Threatened,Worldwide
849,Michelle Python,Lane Bates,Fish,Ocean,Carnivore,Endangered,Worldwide
850,Daryl Tiger,Pope Brown,Amphibian,Caves,Herbivore,Vulnerable,South America
851,Brady Python,Williams Thomas,Bird,Wetlands,Carnivore,Near Threatened,South America
852,Douglas Wolf,Barnes Washington,Fish,Forest,Herbivore,Vulnerable,Australia
853,Jason Bear,Hoover Coffey,Bird,Caves,Herbivore,Vulnerable,Worldwide
854,Christopher Bear,Hanson Miller,Amphibian,Savannah,Omnivore,Least Concern,Antarctica
855,Monica Falcon,White Cochran,Amphibian,Wetlands,Carnivore,Endangered,Europe
856,Sarah Lizard,Shelton Castillo,Fish,Ocean,Herbivore,Vulnerable,Africa
857,David Crocodile,Clark White,Mammal,Ocean,Herbivore,Near Threatened,Antarctica
858,James Bear,Lopez Anderson,Mammal,Forest,Herbivore,Endangered,Australia
859,Carl Crocodile,Johnson Moore,Amphibian,Mountains,Herbivore,Near Threatened,Asia
860,David Owl,Perkins Murillo,Fish,Forest,Carnivore,Critically Endangered,North America
861,Benjamin Crocodile,Banks Harrington,Mammal,Wetlands,Carnivore,Endangered,Australia
862,Matthew Puma,King Carlson,Fish,Caves,Carnivore,Endangered,Africa
863,Charles Falcon,Wells Lyons,Fish,Forest,Carnivore,Critically Endangered,Africa
864,Angela Eagle,Evans Mason,Bird,Desert,Herbivore,Vulnerable,Africa
865,Katherine Lizard,Jacobson Baker,Bird,Grasslands,Omnivore,Least Concern,North America
866,Alicia Python,Cummings Johnson,Reptile,Wetlands,Carnivore,Critically Endangered,Asia
867,Jonathan Puma,Ryan Larson,Reptile,Caves,Herbivore,Near Threatened,Asia
868,Alice Eagle,Sellers Mccoy,Reptile,Wetlands,Omnivore,Vulnerable,North America
869,Jason Shark,Garcia Wright,Mammal,Desert,Omnivore,Vulnerable,Africa
870,Stacey Python,Phillips Walters,Mammal,Ocean,Carnivore,Least Concern,Asia
871,Kenneth Tiger,Charles Stewart,Mammal,Grasslands,Carnivore,Least Concern,Antarctica
872,Benjamin Crocodile,Thomas Evans,Amphibian,Mountains,Omnivore,Least Concern,Africa
873,Valerie Lizard,Keller Soto,Fish,Savannah,Omnivore,Near Threatened,Africa
874,Paul Wolf,Taylor Shannon,Fish,Grasslands,Carnivore,Vulnerable,North America
875,Kathleen Eagle,Curry Cook,Amphibian,Mountains,Omnivore,Critically Endangered,Australia
876,Wendy Eagle,Brooks Holland,Bird,Ocean,Herbivore,Near Threatened,Europe
877,Diane Crocodile,Hernandez Jones,Amphibian,Caves,Omnivore,Least Concern,Australia
878,Robert Falcon,Lewis Oneill,Amphibian,Wetlands,Herbivore,Endangered,Asia
879,Connie Tiger,Richard Osborn,Fish,Forest,Herbivore,Endangered,South America
880,Andrew Python,Brooks Patel,Bird,Mountains,Herbivore,Critically Endangered,Europe
881,Christina Eagle,Beltran Juarez,Reptile,Mountains,Carnivore,Endangered,Asia
882,Michael Wolf,Norris Kelly,Amphibian,Desert,Herbivore,Critically Endangered,Antarctica
883,Nicole Crocodile,Boyd Armstrong,Bird,Desert,Herbivore,Vulnerable,Worldwide
884,Robert Eagle,Wilcox Waller,Fish,Ocean,Herbivore,Least Concern,Asia
885,Mark Owl,Hill Bonilla,Bird,Wetlands,Herbivore,Least Concern,Africa
886,William Falcon,Murray Webster,Reptile,Tundra,Carnivore,Vulnerable,Worldwide
887,Gabriel Owl,Obrien Maddox,Fish,Mountains,Herbivore,Near Threatened,South America
888,Amy Tiger,Mercado Riley,Mammal,Grasslands,Carnivore,Vulnerable,Asia
889,Stacie Owl,Holder Thompson,Bird,Desert,Omnivore,Critically Endangered,Europe
890,Daisy Falcon,Jones Yang,Bird,Wetlands,Carnivore,Least Concern,Worldwide
891,Daniel Tiger,Roberts Martinez,Mammal,Mountains,Herbivore,Near Threatened,Europe
892,Jennifer Puma,Gonzalez Cherry,Reptile,Wetlands,Carnivore,Endangered,Europe
893,Eduardo Eagle,Adams West,Amphibian,Tundra,Omnivore,Least Concern,South America
894,Charles Shark,Green Ross,Reptile,Grasslands,Carnivore,Near Threatened,Worldwide
895,Carl Eagle,Sanchez Burton,Amphibian,Ocean,Omnivore,Endangered,North America
896,Anthony Shark,Bush Morgan,Amphibian,Mountains,Carnivore,Critically Endangered,Australia
897,Stacy Eagle,Walker Daniel,Bird,Wetlands,Herbivore,Near Threatened,North America
898,Joseph Crocodile,Perry Smith,Fish,Forest,Herbivore,Least Concern,Asia
899,Tyler Tiger,Green Baker,Amphibian,Rivers,Carnivore,Critically Endangered,Worldwide
900,Jason Falcon,Holland Rodriguez,Mammal,Rivers,Omnivore,Vulnerable,North America
901,Joshua Tiger,Matthews Cunningham,Bird,Mountains,Herbivore,Endangered,Australia
902,Casey Python,Macdonald Hudson,Fish,Forest,Omnivore,Vulnerable,Australia
903,Collin Bear,Gutierrez Larson,Fish,Savannah,Omnivore,Vulnerable,Worldwide
904,Joseph Shark,Werner Elliott,Mammal,Grasslands,Omnivore,Endangered,South America
905,Karen Puma,Hale Johnson,Reptile,Savannah,Herbivore,Vulnerable,Europe
906,Diane Crocodile,Harris Wright,Reptile,Wetlands,Herbivore,Near Threatened,North America
907,Brian Falcon,Morales Gould,Fish,Desert,Herbivore,Endangered,Worldwide
908,Donna Shark,Watkins Moreno,Bird,Tundra,Carnivore,Endangered,Africa
909,Alison Wolf,Watkins Ritter,Bird,Savannah,Herbivore,Least Concern,South America
910,Yvonne Falcon,Mcclure Love,Fish,Ocean,Herbivore,Near Threatened,South America
911,Bradley Bear,Perry Garcia,Amphibian,Forest,Herbivore,Least Concern,Africa
912,Sara Lizard,Crawford Mckee,Fish,Rivers,Omnivore,Least Concern,Worldwide
913,Matthew Owl,Myers Stout,Fish,Savannah,Carnivore,Least Concern,Antarctica
914,Kevin Tiger,Armstrong Hodge,Fish,Caves,Omnivore,Near Threatened,Australia
915,Curtis Lizard,Waters Hansen,Mammal,Desert,Omnivore,Critically Endangered,Europe
916,Connie Falcon,Navarro Torres,Amphibian,Forest,Herbivore,Endangered,Australia
917,Amanda Eagle,Williams Barnett,Fish,Desert,Herbivore,Least Concern,Europe
918,Pamela Shark,Murray Thomas,Mammal,Wetlands,Omnivore,Critically Endangered,Europe
919,Carla Puma,Duffy Brown,Amphibian,Mountains,Carnivore,Critically Endangered,North America
920,Roberta Tiger,Hansen White,Bird,Forest,Omnivore,Near Threatened,South America
921,Jennifer Shark,Perry Smith,Mammal,Tundra,Omnivore,Vulnerable,North America
922,Jennifer Tiger,Hunt Montoya,Fish,Caves,Herbivore,Critically Endangered,Europe
923,Andrea Puma,Williams Parker,Mammal,Forest,Omnivore,Vulnerable,Worldwide
924,David Bear,Dickson Galvan,Amphibian,Ocean,Herbivore,Near Threatened,Europe
925,Kristy Shark,Huff Erickson,Amphibian,Ocean,Herbivore,Least Concern,South America
926,Katherine Eagle,Buchanan Jones,Mammal,Rivers,Omnivore,Critically Endangered,Europe
927,Stephanie Puma,Taylor Cole,Fish,Caves,Herbivore,Critically Endangered,Antarctica
928,Curtis Wolf,Bennett Hernandez,Bird,Savannah,Omnivore,Least Concern,Europe
929,John Bear,Freeman Baker,Bird,Desert,Omnivore,Endangered,Australia
930,Brenda Python,Miranda Sandoval,Fish,Rivers,Carnivore,Critically Endangered,Worldwide
